,CODDEPTO,DEPARTAMENTO,APROBACIÓN_2011,APROBACIÓN_2012,APROBACIÓN_2013,APROBACIÓN_2014,APROBACIÓN_2015,APROBACIÓN_2016,APROBACIÓN_2017,APROBACIÓN_2018,APROBACIÓN_2019,APROBACIÓN_2020,APROBACIÓN_2021,APROBACIÓN_2022,COBERTURA_BRUTA_2011,COBERTURA_BRUTA_2012,COBERTURA_BRUTA_2013,COBERTURA_BRUTA_2014,COBERTURA_BRUTA_2015,COBERTURA_BRUTA_2016,COBERTURA_BRUTA_2017,COBERTURA_BRUTA_2018,COBERTURA_BRUTA_2019,COBERTURA_BRUTA_2020,COBERTURA_BRUTA_2021,COBERTURA_BRUTA_2022,COBERTURA_NETA_2011,COBERTURA_NETA_2012,COBERTURA_NETA_2013,COBERTURA_NETA_2014,COBERTURA_NETA_2015,COBERTURA_NETA_2016,COBERTURA_NETA_2017,COBERTURA_NETA_2018,COBERTURA_NETA_2019,COBERTURA_NETA_2020,COBERTURA_NETA_2021,COBERTURA_NETA_2022,DESERCIÓN_2011,DESERCIÓN_2012,DESERCIÓN_2013,DESERCIÓN_2014,DESERCIÓN_2015,DESERCIÓN_2016,DESERCIÓN_2017,DESERCIÓN_2018,DESERCIÓN_2019,DESERCIÓN_2020,DESERCIÓN_2021,DESERCIÓN_2022,POBLACIÓN_2011,POBLACIÓN_2012,POBLACIÓN_2013,POBLACIÓN_2014,POBLACIÓN_2015,POBLACIÓN_2016,POBLACIÓN_2017,POBLACIÓN_2018,POBLACIÓN_2019,POBLACIÓN_2020,POBLACIÓN_2021,POBLACIÓN_2022,REPITENCIA_2011,REPITENCIA_2012,REPITENCIA_2013,REPITENCIA_2014,REPITENCIA_2015,REPITENCIA_2016,REPITENCIA_2017,REPITENCIA_2018,REPITENCIA_2019,REPITENCIA_2020,REPITENCIA_2021,REPITENCIA_2022,REPROBACIÓN_2011,REPROBACIÓN_2012,REPROBACIÓN_2013,REPROBACIÓN_2014,REPROBACIÓN_2015,REPROBACIÓN_2016,REPROBACIÓN_2017,REPROBACIÓN_2018,REPROBACIÓN_2019,REPROBACIÓN_2020,REPROBACIÓN_2021,REPROBACIÓN_2022,TASA_MATRICULACIÓN_2011,TASA_MATRICULACIÓN_2012,TASA_MATRICULACIÓN_2013,TASA_MATRICULACIÓN_2014,TASA_MATRICULACIÓN_2015,TASA_MATRICULACIÓN_2016,TASA_MATRICULACIÓN_2017,TASA_MATRICULACIÓN_2018,TASA_MATRICULACIÓN_2019,TASA_MATRICULACIÓN_2020,TASA_MATRICULACIÓN_2021,TASA_MATRICULACIÓN_2022
0,11,"BOGOTÁ, D.C.",96.05,,96.32,97.36,96.29,97.55,97.29,98.02,97.5,94.4,88.15,90.55,97.78,,91.42,86.66,88.45,87.29,86.62,105.2,104.93,104.74,102.57,101.87,90.29,,84.07,80.38,81.77,80.26,79.45,96.51,96.3,95.89,93.8,93.37,3.95,,3.68,2.5,3.63,2.08,1.62,1.65,1.6,0.46,1.29,3.46,1479334.0,,1466854.0,1460379.0,1455309.0,1453283.0,1452849.0,1179282.0,1181531.0,1181597.0,1174274.0,1150474.0,3.23,,6.89,8.69,9.91,3.73,0.14,0.33,2.62,3.75,3.29,5.72,0.0,,0.0,0.14,0.09,0.37,1.09,0.33,0.9,5.14,10.56,5.99,90.7,,84.5,80.79,82.2,80.7,79.9,78.71,96.82,96.41,94.28,93.89
1,13,BOLÍVAR,94.76,92.83,94.23,94.1,91.5,91.68,91.16,90.31,90.5,94.06,88.65,88.82,110.41,103.53,103.72,98.71,100.18,101.18,102.17,112.48,112.39,110.4,111.33,113.09,91.4,88.87,89.55,87.41,88.69,89.41,90.58,98.6,99.33,98.8,99.3,100.19,3.14,3.39,2.56,3.53,3.01,2.97,2.65,2.75,2.99,2.03,3.69,4.01,496676.0,495108.0,492500.0,490573.0,488886.0,487274.0,486067.0,455784.0,461988.0,466941.0,469046.0,464305.0,4.43,2.4,1.91,1.96,1.83,2.16,4.4,3.82,3.59,5.92,4.1,6.85,2.1,3.78,3.2,2.37,5.49,5.35,6.19,6.93,6.51,3.91,7.66,7.17,91.57,88.97,89.66,87.5,88.78,89.5,90.7,92.71,99.44,98.91,99.39,100.32
2,15,BOYACÁ,94.2,91.92,93.41,93.8,93.27,93.5,92.61,92.59,92.02,90.55,88.05,89.9,104.15,99.96,96.3,94.74,93.37,96.0,94.76,106.84,108.44,103.67,104.85,102.84,86.11,85.64,85.05,83.89,83.57,83.7,83.48,96.54,96.51,94.84,95.48,93.87,3.07,3.23,2.45,1.89,2.22,2.46,2.15,2.07,2.05,1.7,2.97,2.9,300501.0,297132.0,292312.0,288366.0,284611.0,279627.0,275027.0,234116.0,234368.0,234540.0,234348.0,234191.0,2.62,2.0,1.69,2.24,2.27,2.18,2.3,1.69,1.92,5.42,5.91,7.61,2.73,4.86,4.14,4.31,4.51,4.04,5.25,5.34,5.93,7.75,8.98,7.2,86.16,85.7,85.1,83.94,83.62,83.8,83.5,83.54,96.6,94.91,95.55,93.95
3,17,CALDAS,90.62,88.95,88.64,94.74,88.13,89.16,89.46,90.77,89.01,92.89,90.2,88.6,98.13,96.6,94.92,92.36,90.19,88.86,86.35,99.49,97.69,96.32,95.87,93.5,86.98,84.5,82.54,80.93,78.86,77.4,75.72,87.08,85.88,84.57,84.25,83.21,4.13,4.64,4.1,2.65,3.67,4.28,3.47,2.96,3.31,2.35,3.1,3.81,201185.0,198526.0,196982.0,195455.0,194108.0,192703.0,191444.0,162391.0,161892.0,161746.0,161737.0,159847.0,4.67,4.32,1.87,1.73,2.18,2.16,3.08,3.35,3.67,6.48,4.46,6.0,5.25,6.4,7.25,2.6,8.2,6.56,7.07,6.27,7.68,4.76,6.7,7.59,87.04,84.55,82.58,80.96,78.9,77.4,75.8,74.38,85.98,84.65,84.34,83.32
4,18,CAQUETÁ,96.06,91.6,92.48,95.67,91.65,91.69,90.51,92.62,92.63,83.74,82.82,87.49,106.03,98.26,95.55,91.71,85.42,88.13,88.1,107.89,105.49,101.54,97.51,94.41,88.76,83.25,80.94,79.33,73.12,75.36,74.37,92.04,90.49,88.91,86.7,83.48,3.64,7.23,6.55,4.23,4.87,6.88,6.73,5.5,5.32,6.28,8.5,6.37,124148.0,124622.0,124458.0,124473.0,124382.0,124296.0,124222.0,98639.0,98675.0,98602.0,98412.0,97946.0,4.17,1.16,1.32,1.18,1.26,2.2,3.43,2.52,2.6,4.19,7.59,7.49,0.3,1.16,0.96,0.1,3.48,1.43,2.76,1.88,2.05,9.98,8.68,6.14,88.78,83.28,80.95,79.36,73.14,75.4,74.4,73.14,90.52,88.94,86.73,83.5
5,19,CAUCA,92.53,92.05,91.69,95.33,91.64,91.42,90.66,90.33,90.65,91.93,88.33,88.95,98.03,102.15,104.67,105.48,99.04,100.22,99.31,100.03,100.7,95.43,97.67,97.26,86.21,83.4,84.33,84.58,82.21,83.84,83.32,83.17,84.39,84.97,86.28,85.73,2.75,4.02,3.74,4.54,2.17,2.84,2.76,2.58,2.78,1.59,3.03,3.96,328682.0,325212.0,320510.0,316362.0,312453.0,307989.0,303777.0,301714.0,299016.0,296813.0,294933.0,295168.0,2.09,1.15,1.28,1.2,1.23,1.22,1.26,0.97,1.3,5.87,5.98,7.45,4.72,3.93,4.57,0.12,6.19,5.73,6.59,7.09,6.56,6.48,8.64,7.09,86.35,83.48,84.34,84.6,82.21,83.9,83.3,83.72,84.42,85.0,86.33,85.77
6,20,CESAR,90.54,90.08,89.87,92.87,90.48,89.53,90.56,90.35,89.08,82.4,89.09,86.62,110.47,109.0,109.98,111.11,109.85,110.73,111.18,101.99,102.06,99.16,98.8,97.42,94.57,94.01,94.8,96.14,95.39,97.44,98.92,90.73,90.57,89.73,89.04,87.77,7.07,5.13,4.53,4.95,4.38,5.07,3.98,3.98,4.11,8.58,2.43,6.02,263789.0,263271.0,262240.0,261493.0,260802.0,259794.0,259051.0,288411.0,296234.0,302403.0,305550.0,308443.0,1.67,1.49,1.07,1.2,1.08,1.19,0.92,1.24,1.07,5.24,6.28,7.44,2.39,4.8,5.6,2.19,5.14,5.4,5.46,5.68,6.81,9.02,8.49,7.37,94.75,94.15,94.92,96.29,95.52,97.6,99.1,101.41,90.77,89.88,89.21,87.94
7,23,CÓRDOBA,94.29,95.33,96.13,97.5,94.51,93.6,93.23,93.81,93.6,92.27,89.41,87.39,111.08,110.73,110.67,110.59,103.33,104.35,101.31,108.32,107.57,103.59,103.67,101.54,94.46,93.69,93.35,93.19,89.5,90.28,88.72,94.72,94.16,93.21,92.95,90.66,4.59,2.95,2.3,2.11,2.26,3.03,3.03,2.23,2.64,2.54,2.95,4.09,405431.0,405302.0,407589.0,408623.0,409982.0,411715.0,413883.0,386239.0,387454.0,388446.0,388712.0,390847.0,4.07,2.56,2.69,2.01,1.79,3.75,3.29,2.89,3.42,5.84,4.81,7.52,1.12,1.72,1.57,0.39,3.23,3.37,3.75,3.96,3.76,5.2,7.63,8.53,94.53,93.78,93.39,93.23,89.54,90.3,88.8,87.95,94.23,93.27,93.04,90.75
8,25,CUNDINAMARCA,95.58,95.84,95.7,96.72,93.2,93.27,94.05,92.11,91.68,90.58,89.34,90.02,103.34,101.88,100.66,99.75,100.22,101.15,101.72,108.72,106.07,103.27,100.06,105.12,91.93,90.97,90.28,89.79,90.47,90.9,91.56,97.91,95.86,93.42,90.58,96.16,3.6,2.94,3.17,2.6,3.27,3.68,2.57,2.89,3.02,2.78,4.06,3.86,570954.0,571082.0,572012.0,573948.0,576429.0,577612.0,579364.0,547875.0,570377.0,592264.0,610367.0,583695.0,2.7,2.02,1.9,1.73,2.14,2.4,2.43,2.11,1.74,5.29,5.2,6.81,0.89,1.22,1.12,0.69,3.52,3.05,3.37,5.0,5.3,6.63,6.59,6.12,92.13,91.17,90.49,89.99,90.72,91.2,91.8,92.49,96.14,93.68,90.84,96.46
9,27,CHOCÓ,93.5,91.88,88.85,90.58,88.35,87.44,88.49,87.71,88.46,91.72,86.05,87.88,110.17,99.64,96.73,100.66,100.91,96.88,95.51,98.11,103.24,94.63,100.43,102.06,83.79,80.95,79.59,81.14,80.48,79.85,79.19,80.95,82.64,83.97,87.17,84.5,4.29,2.09,4.59,3.53,4.78,3.58,2.38,3.16,2.8,2.04,4.02,3.67,145587.0,145607.0,145133.0,145299.0,145625.0,145596.0,145765.0,143975.0,143999.0,143711.0,143120.0,147806.0,0.42,0.1,0.15,0.44,0.29,1.94,2.23,1.29,1.08,7.78,5.89,9.05,2.21,6.03,6.56,5.89,6.87,8.98,9.14,9.13,8.74,6.24,9.92,8.45,83.79,80.97,79.59,81.15,80.48,79.8,79.2,79.81,82.64,83.98,87.22,84.5
10,41,HUILA,92.39,90.01,92.18,96.53,87.04,85.82,86.57,86.1,85.86,89.63,83.98,86.3,101.13,100.19,101.65,99.41,99.18,96.84,95.17,106.28,105.3,103.51,104.13,101.3,90.47,89.73,89.68,88.29,87.58,85.84,85.17,94.28,94.12,93.38,93.73,91.77,4.38,5.23,4.78,3.33,5.17,5.23,4.14,4.21,4.48,2.49,6.18,5.13,275956.0,273653.0,272091.0,270459.0,269323.0,268744.0,268582.0,242238.0,242194.0,242199.0,242129.0,247652.0,4.36,1.81,1.03,1.08,1.09,4.35,3.32,2.63,2.84,6.85,5.23,6.96,3.24,4.76,3.04,0.14,7.79,8.94,9.3,9.69,9.67,7.88,9.84,8.56,90.52,89.77,89.73,88.35,87.64,85.9,85.3,85.04,94.2,93.46,93.8,91.87
11,44,LA GUAJIRA,92.78,92.33,94.12,95.14,95.83,93.5,93.92,93.01,93.27,89.11,89.12,86.54,89.4,89.93,87.85,88.84,86.61,88.3,86.51,103.72,103.71,104.74,111.61,110.67,77.0,75.33,74.73,74.87,74.08,75.59,75.44,90.55,92.86,94.2,99.35,99.25,6.17,6.81,5.27,4.48,2.29,4.62,2.98,2.77,2.51,2.08,2.06,3.65,231046.0,239298.0,244513.0,251458.0,258207.0,264785.0,271221.0,237991.0,245778.0,252101.0,255513.0,262402.0,3.85,3.44,2.35,1.3,1.42,4.5,4.85,4.75,3.59,5.87,6.09,9.77,1.07,0.86,0.61,0.38,1.88,1.89,3.1,4.22,4.21,8.81,8.82,9.81,77.12,75.42,74.8,74.91,74.12,75.7,75.5,77.72,92.92,94.28,99.46,99.33
12,47,MAGDALENA,94.98,91.97,95.32,96.05,93.68,94.31,94.62,93.58,93.68,90.81,94.46,91.07,110.51,108.68,117.11,108.4,108.08,108.24,109.39,115.66,114.32,110.91,112.69,118.49,94.32,91.64,95.83,90.1,93.43,92.33,93.3,97.69,97.27,95.83,96.9,95.92,3.63,6.22,3.19,2.96,3.54,3.2,2.57,3.26,3.5,3.87,2.07,4.9,333793.0,334586.0,332266.0,331389.0,330539.0,329234.0,327940.0,317652.0,323546.0,327562.0,328343.0,327302.0,1.52,1.59,1.32,0.93,1.07,5.31,2.52,1.7,1.53,3.8,3.09,5.02,1.39,1.81,1.49,0.99,2.78,2.49,2.8,3.15,2.83,5.32,3.47,4.03,94.47,91.82,96.03,90.35,93.61,92.5,93.6,95.21,97.49,96.03,97.15,96.16
13,50,META,93.08,91.68,93.87,95.07,92.08,89.08,90.81,89.65,90.99,87.06,86.0,87.45,102.82,103.0,106.43,106.4,103.88,104.73,102.17,104.13,107.15,105.44,105.94,105.25,93.59,93.29,94.76,94.72,92.14,92.28,90.88,92.51,93.51,93.83,94.28,93.17,5.55,5.85,4.49,3.02,3.3,5.35,4.2,4.47,3.97,2.47,4.4,5.18,209319.0,210820.0,213170.0,215227.0,217437.0,219565.0,221844.0,218707.0,218194.0,217673.0,216914.0,221130.0,1.48,1.8,1.15,1.41,1.1,0.86,1.04,0.89,1.03,4.32,6.19,7.47,1.37,2.47,1.63,1.9,4.62,5.57,4.99,5.88,5.04,10.47,9.6,7.37,93.65,93.35,94.83,94.77,92.19,92.4,90.9,90.3,93.59,93.91,94.37,93.24
14,52,NARIÑO,89.97,97.02,95.83,96.98,96.42,96.44,95.82,95.42,95.85,89.34,91.83,92.01,93.96,92.96,93.62,89.87,88.26,83.28,83.3,98.98,98.35,97.39,96.69,92.87,80.5,77.73,76.58,75.22,73.51,71.13,70.16,84.54,83.95,84.1,83.43,80.58,10.17,1.84,2.9,2.91,1.23,1.67,1.4,1.34,1.45,1.75,2.23,2.85,401313.0,401539.0,399032.0,397640.0,396138.0,394574.0,393195.0,314579.0,309763.0,305761.0,302506.0,307217.0,2.53,1.89,1.85,1.6,1.35,2.64,3.17,2.94,3.23,4.68,6.66,8.07,1.4,1.14,1.26,0.11,2.35,1.89,2.78,3.24,2.7,8.91,5.94,5.14,80.53,77.75,76.6,75.23,73.53,71.1,70.2,67.88,84.0,84.15,83.5,80.63
